Product ID,Product name,Competitor Price (RON),Original Price (RON),Contents,Price N (RON),Difference,Difference (%)
10343,Irisi si trandafiri,354.78,394.2,"{'Iris': 15, 'Trandafir': 10}",171.0,-184.0,-0.518631264445572
10338,Red passion,629.1,699.0,{'Trandafir': 25},261.0,-368.0,-0.5849626450484819
10348,Cutie trandafiri roz,484.2,484.2,{'Trandafir': 19},201.0,-283.0,-0.5844692275919042
10349,Cutie trandafiri portocalii,484.2,484.2,{'Trandafir': 19},201.0,-283.0,-0.5844692275919042
10347,Cutie trandafiri galbeni,484.2,484.2,{'Trandafir': 19},201.0,-283.0,-0.5844692275919042
10361,Cos 15 trandafiri,448.2,448.2,{'Trandafir': 15},161.0,-287.0,-0.640339134315038
10383,Buchet flori Maria,502.2,502.2,"{'Trandafir': 11, 'Crizantema': 6, 'Santini': 3, 'Lisianthus': 3}",211.0,-291.0,-0.5794504181600956
10360,Buchet 75 trandafiri roz,1312.2,1312.2,{'Trandafir': 75},761.0,-551.0,-0.4199055022100289
10362,Buchet fermecator,718.2,718.2,{'Trandafir': 37},381.0,-337.0,-0.46922862712336394
10365,Cos lalele bicolor,299.0,299.0,{'Lalea': 25},136.0,-163.0,-0.5451505016722408
10396,Buchet 19 trandafiri albastri,448.2,448.2,{'Trandafir': 19},201.0,-247.0,-0.5510932619366354
10367,Buchet de iarna,484.2,484.2,"{'Trandafir': 17, 'Hypericum': 4}",213.0,-271.0,-0.5596860801321768
10389,Buchet bujori,412.2,412.2,{'Bujor': 11},176.0,-236.0,-0.5725376031052887
10373,Cutie 7 trandafiri galbeni,249.0,249.0,{'Trandafir': 7},81.0,-168.0,-0.6746987951807228
10369,Buchet trandafiri si irisi,352.8,352.8,"{'Trandafir': 10, 'Iris': 15}",171.0,-182.0,-0.5158730158730158
10382,Buchet de sarbatori,610.2,610.2,"{'Trandafir': 10, 'Lisianthus': 5, 'Gerbera': 5, 'Minirosa': 3}",211.0,-399.0,-0.6538839724680432
